Breed,Disorder,Product Title
affenpinscher,Inherited eye disorders,adult beef & barley entrée dog food
affenpinscher,Inherited eye disorders,adult 7+ small & mini chicken & brown rice recipe dog food
affenpinscher,Inherited eye disorders,adult small bites chicken & barley recipe dog food
affenpinscher,Inherited eye disorders,adult large breed lamb meal & brown rice recipe dog food
affenpinscher,Inherited eye disorders,adult light large breed chicken meal & barley recipe dog food
affenpinscher,Inherited eye disorders,adult chicken & barley recipe dog food
affenpinscher,Inherited eye disorders,adult small & mini lamb meal & brown rice recipe dog food
affenpinscher,Inherited eye disorders,brain care + j/d dog food
affenpinscher,Inherited eye disorders,brain care + j/d rice & turkey entrée dog food
affenpinscher,Inherited eye disorders,z/d wet dog food
affenpinscher,Inherited eye disorders,adult 7+ small paws chicken & barley entrée dog food
affenpinscher,Inherited eye disorders,puppy savory stew with chicken & vegetables
affenpinscher,Inherited eye disorders,adult turkey & barley dog food
affenpinscher,Inherited eye disorders,adult light with liver dog food
affenpinscher,Inherited eye disorders,puppy small paws chicken & barley entrée
affenpinscher,Inherited musculoskeletal disorders,adult large breed dry dog food with lamb & rice
affenpinscher,Inherited musculoskeletal disorders,adult large breed dry dog food with chicken
affenpinscher,Inherited musculoskeletal disorders,healthy weight dog treats
affenpinscher,Inherited musculoskeletal disorders,j/d wet dog food with chicken
affenpinscher,Inherited musculoskeletal disorders,k/d + mobility dog food
affenpinscher,Inherited musculoskeletal disorders,metabolic + mobility weight management dog food
affenpinscher,Inherited musculoskeletal disorders,metabolic weight management dog food
affenpinscher,Inherited musculoskeletal disorders,large breed mature adult dog food
affenpinscher,Inherited musculoskeletal disorders,metabolic + mobility mini dog food
affenpinscher,Inherited musculoskeletal disorders,perfect weight & active mobility adult large dry dog food chicken
affenpinscher,Inherited musculoskeletal disorders,perfect weight & active mobility small & mini dry dog food chicken
affenpinscher,Inherited musculoskeletal disorders,multi-benefit + weight adult 1+ large breed dry dog food
affenpinscher,Inherited musculoskeletal disorders,multi-benefit + weight adult 1+ medium dry dog food
affenpinscher,Inherited musculoskeletal disorders,perfect weight & active mobility adult medium dry dog food chicken
affenpinscher,Inherited musculoskeletal disorders,metabolic stew for dog with chicken & vegetables
affenpinscher,Inherited musculoskeletal disorders,metabolic mini dog food
affenpinscher,Inherited musculoskeletal disorders,healthy mobility adult large breed adult dry dog food with chicken
affenpinscher,Inherited musculoskeletal disorders,metabolic dry dog food with chicken
affenpinscher,Inherited musculoskeletal disorders,metabolic + mobility dog food
affenpinscher,Inherited musculoskeletal disorders,r/d dog food
affenpinscher,Inherited musculoskeletal disorders,c/d multicare + metabolic dry dog food original bag
affenpinscher,Inherited musculoskeletal disorders,j/d dry dog food original
affenpinscher,Inherited musculoskeletal disorders,k/d + mobility stew for dogs
affenpinscher,Inherited musculoskeletal disorders,healthy mobility adult small & mini breed dry dog food with chicken
affenpinscher,Inherited musculoskeletal disorders,senior small & mini breed dry dog food with chicken
affenpinscher,Inherited musculoskeletal disorders,r/d weight reduction dog food
affenpinscher,Inherited musculoskeletal disorders,metabolic weight loss & maintenance wet dog food with chicken can
affenpinscher,Inherited musculoskeletal disorders,healthy mobility adult medium breed dry dog food with chicken
affenpinscher,Inherited musculoskeletal disorders,j/d reduced calorie dry dog food
affenpinscher,Inherited musculoskeletal disorders,adult perfect weight & joint support hearty vegetables and tuna stew dog food
affenpinscher,Inherited musculoskeletal disorders,"adult healthy mobility small bites chicken meal, brown rice & barley recipe dog food   "
affenpinscher,Inherited musculoskeletal disorders,adult large breed chicken & barley recipe dog food
affenpinscher,Inherited musculoskeletal disorders,"adult large breed no corn, wheat, soy chicken & brown rice recipe dog food             "
affenpinscher,Inherited musculoskeletal disorders,adult light with chicken meal & barley dog food
affenpinscher,Inherited musculoskeletal disorders,"adult 11+ small & mini chicken, brown rice & barley recipe dog food                    "
affenpinscher,Inherited musculoskeletal disorders,natural flexi-stix turkey jerky treats dog treats
affenpinscher,Inherited musculoskeletal disorders,natural flexi-stix beef jerky treats dog treats
affenpinscher,Inherited musculoskeletal disorders,"adult 6+ large breed chicken meal, barley & rice recipe dog food                       "
affenpinscher,Inherited musculoskeletal disorders,metabolic weight + j/d vegetable & tuna stew dog food
affenpinscher,Inherited musculoskeletal disorders,r/d chicken flavor dry dog food
affenpinscher,Inherited musculoskeletal disorders,metabolic weight + j/d chicken flavor dry dog food
affenpinscher,Inherited musculoskeletal disorders,j/d small bites dry dog food
affenpinscher,Inherited musculoskeletal disorders,j/d wet dog food
affenpinscher,Inherited musculoskeletal disorders,j/d dry dog food
affenpinscher,Inherited musculoskeletal disorders,adult light small bites with chicken meal & barley dog food
affenpinscher,Inherited musculoskeletal disorders,adult light small & mini with chicken meal & barley dog food
affenpinscher,Inherited musculoskeletal disorders,k/d + j/d chicken & vegetable stew dog food
affenpinscher,Inherited musculoskeletal disorders,metabolic vegetable & chicken stew dog food
affenpinscher,Inherited musculoskeletal disorders,metabolic vegetable & beef stew dog food
affenpinscher,Inherited musculoskeletal disorders,metabolic lamb meal & rice formula dry dog food
affenpinscher,Inherited musculoskeletal disorders,k/d + j/d chicken flavor dog food
affenpinscher,Inherited musculoskeletal disorders,metabolic chicken flavor dog food
affenpinscher,Inherited musculoskeletal disorders,c/d multicare + metabolic weight dry dog food
affenpinscher,Inherited musculoskeletal disorders,metabolic chicken flavor wet dog food
affenpinscher,Inherited musculoskeletal disorders,adult perfect weight & joint support chicken recipe dry dog food
affenpinscher,Inherited musculoskeletal disorders,adult perfect weight with joint support large breed dog food
affenpinscher,Inherited musculoskeletal disorders,adult large breed lamb meal & brown rice recipe dog food
affenpinscher,Inherited musculoskeletal disorders,adult light large breed chicken meal & barley recipe dog food
affenpinscher,Inherited musculoskeletal disorders,brain care + j/d dog food
affenpinscher,Inherited musculoskeletal disorders,brain care + j/d rice & turkey entrée dog food
affenpinscher,Inherited musculoskeletal disorders,"adult healthy mobility large breed chicken meal, brown rice & barley recipe dog food   "
affenpinscher,Inherited musculoskeletal disorders,r/d chicken flavor wet dog food
affenpinscher,Inherited musculoskeletal disorders,"adult 6+ large breed no corn, wheat, soy chicken & brown rice recipe dog food          "
affenpinscher,Inherited musculoskeletal disorders,adult light with liver dog food
afghan hound,Inherited endocrine disorders,light adult wet dog food with chicken
afghan hound,Inherited endocrine disorders,light adult large breed dry dog food with chicken
afghan hound,Inherited endocrine disorders,adult wet dog food with turkey
afghan hound,Inherited endocrine disorders,healthy weight dog treats
afghan hound,Inherited endocrine disorders,hypoallergenic dog treats
afghan hound,Inherited endocrine disorders,perfect weight adult small & mini breed dog mousse with turkey
afghan hound,Inherited endocrine disorders,mature adult multipack wet dog food with chicken & beef
afghan hound,Inherited endocrine disorders,puppy multipack wet dog food with chicken & beef
afghan hound,Inherited endocrine disorders,i/d stress mini dog food
afghan hound,Inherited endocrine disorders,"adult multipack wet dog food with chicken, turkey & beef                               "
afghan hound,Inherited endocrine disorders,multi-benefit + weight adult wet dog food
afghan hound,Inherited endocrine disorders,k/d + mobility dog food
afghan hound,Inherited endocrine disorders,i/d stress wet dog food with chicken
afghan hound,Inherited endocrine disorders,metabolic + mobility weight management dog food
afghan hound,Inherited endocrine disorders,metabolic weight management dog food
afghan hound,Inherited endocrine disorders,metabolic + mobility mini dog food
afghan hound,Inherited endocrine disorders,perfect weight & active mobility adult large dry dog food chicken
afghan hound,Inherited endocrine disorders,perfect weight & active mobility small & mini dry dog food chicken
afghan hound,Inherited endocrine disorders,multi-benefit + weight adult 1+ large breed dry dog food
afghan hound,Inherited endocrine disorders,a/d dog/cat food
afghan hound,Inherited endocrine disorders,multi-benefit + weight adult 1+ small & mini dry dog food
afghan hound,Inherited endocrine disorders,multi-benefit + weight adult 1+ medium dry dog food
afghan hound,Inherited endocrine disorders,perfect weight & active mobility adult medium dry dog food chicken
afghan hound,Inherited endocrine disorders,metabolic stew for dog with chicken & vegetables
afghan hound,Inherited endocrine disorders,i/d digestive care dog food
afghan hound,Inherited endocrine disorders,light mature adult medium dry dog food with chicken bag
afghan hound,Inherited endocrine disorders,i/d stress mini stew for dogs
afghan hound,Inherited endocrine disorders,i/d low fat digestive care dog food
afghan hound,Inherited endocrine disorders,metabolic mini dog food
afghan hound,Inherited endocrine disorders,mature adult wet dog food with chicken
afghan hound,Inherited endocrine disorders,metabolic dry dog food with chicken
afghan hound,Inherited endocrine disorders,metabolic + mobility dog food
afghan hound,Inherited endocrine disorders,multi-benefit + dental adult 1+ small & mini dry dog food
afghan hound,Inherited endocrine disorders,multi-benefit + dental adult 1+ medium and large breed dry dog food
afghan hound,Inherited endocrine disorders,r/d dog food
afghan hound,Inherited endocrine disorders,c/d multicare + metabolic dry dog food original bag
afghan hound,Inherited endocrine disorders,perfect weight adult large breed dry dog food with chicken
afghan hound,Inherited endocrine disorders,perfect weight wet dog food with chicken & vegetables
afghan hound,Inherited endocrine disorders,k/d + mobility stew for dogs
afghan hound,Inherited endocrine disorders,i/d dog food
afghan hound,Inherited endocrine disorders,light adult medium breed dry dog food with chicken
afghan hound,Inherited endocrine disorders,adult wet dog food with beef
afghan hound,Inherited endocrine disorders,light adult small & mini breed dry dog food with chicken
afghan hound,Inherited endocrine disorders,perfect weight adult small & mini breed dry dog food with chicken
afghan hound,Inherited endocrine disorders,i/d low fat dog food
afghan hound,Inherited endocrine disorders,r/d weight reduction dog food
afghan hound,Inherited endocrine disorders,adult wet dog food with chicken
afghan hound,Inherited endocrine disorders,i/d digestive care wet dog food with turkey can
afghan hound,Inherited endocrine disorders,i/d low fat digestive care wet dog food original can
afghan hound,Inherited endocrine disorders,metabolic weight loss & maintenance wet dog food with chicken can
afghan hound,Inherited endocrine disorders,light mature adult small & mini mini breed dry dog food with chicken
afghan hound,Inherited endocrine disorders,perfect weight adult medium breed dry dog food with chicken
afghan hound,Inherited endocrine disorders,w/d wet dog food with chicken
afghan hound,Inherited endocrine disorders,w/d dry dog food with chicken
afghan hound,Inherited endocrine disorders,j/d reduced calorie dry dog food
afghan hound,Inherited endocrine disorders,puppy wet dog food with chicken
afghan hound,Inherited endocrine disorders,adult perfect weight & joint support hearty vegetables and tuna stew dog food
afghan hound,Inherited endocrine disorders,adult perfect weight small & mini chicken recipe dog food
afghan hound,Inherited endocrine disorders,adult perfect weight hearty vegetables & salmon stew dog food
afghan hound,Inherited endocrine disorders,adult perfect weight small bites chicken recipe dog food
afghan hound,Inherited endocrine disorders,adult perfect weight large breed chicken recipe dog food
afghan hound,Inherited endocrine disorders,adult light with chicken meal & barley dog food
afghan hound,Inherited endocrine disorders,"adult 11+ small & mini chicken, brown rice & barley recipe dog food                    "
afghan hound,Inherited endocrine disorders,metabolic weight + j/d vegetable & tuna stew dog food
afghan hound,Inherited endocrine disorders,r/d chicken flavor dry dog food
afghan hound,Inherited endocrine disorders,metabolic weight + j/d chicken flavor dry dog food
afghan hound,Inherited endocrine disorders,adult light small bites with chicken meal & barley dog food
afghan hound,Inherited endocrine disorders,adult light small & mini with chicken meal & barley dog food
afghan hound,Inherited endocrine disorders,w/d multi-benefit vegetable & chicken stew dog food
afghan hound,Inherited endocrine disorders,w/d multi-benefit chicken flavor wet dog food
afghan hound,Inherited endocrine disorders,w/d multi-benefit dry dog food
afghan hound,Inherited endocrine disorders,metabolic dog treats
afghan hound,Inherited endocrine disorders,k/d + j/d chicken & vegetable stew dog food
afghan hound,Inherited endocrine disorders,metabolic vegetable & chicken stew dog food
afghan hound,Inherited endocrine disorders,metabolic vegetable & beef stew dog food
afghan hound,Inherited endocrine disorders,metabolic lamb meal & rice formula dry dog food
afghan hound,Inherited endocrine disorders,k/d + j/d chicken flavor dog food
afghan hound,Inherited endocrine disorders,metabolic chicken flavor dog food
afghan hound,Inherited endocrine disorders,c/d multicare + metabolic weight dry dog food
afghan hound,Inherited endocrine disorders,metabolic chicken flavor wet dog food
afghan hound,Inherited endocrine disorders,adult small & mini chicken & brown rice recipe dog food
afghan hound,Inherited endocrine disorders,adult perfect weight hearty vegetable & chicken stew dog food
afghan hound,Inherited endocrine disorders,adult perfect weight & joint support chicken recipe dry dog food
afghan hound,Inherited endocrine disorders,adult perfect weight with joint support large breed dog food
afghan hound,Inherited endocrine disorders,adult perfect weight chicken recipe dog food
afghan hound,Inherited endocrine disorders,adult 7+ small & mini chicken & brown rice recipe dog food
afghan hound,Inherited endocrine disorders,adult light large breed chicken meal & barley recipe dog food
afghan hound,Inherited endocrine disorders,adult small & mini lamb meal & brown rice recipe dog food
afghan hound,Inherited endocrine disorders,adult perfect weight chicken & vegetable entrée dog food
afghan hound,Inherited endocrine disorders,r/d chicken flavor wet dog food
afghan hound,Inherited endocrine disorders,adult light with liver dog food
afghan hound,Inherited eye disorders,puppy medium breed dry dog food with lamb & rice
afghan hound,Inherited eye disorders,puppy large breed dry dog food with chicken
afghan hound,Inherited eye disorders,multi-benefit puppy wet food
afghan hound,Inherited eye disorders,small & mini breed adult dog mousse with chicken
afghan hound,Inherited eye disorders,puppy small & mini breed dry food with chicken
afghan hound,Inherited eye disorders,multi-benefit adult small & mini dry dog food
afghan hound,Inherited eye disorders,multi-benefit + weight adult 1+ large breed dry dog food
afghan hound,Inherited eye disorders,multi-benefit + weight adult 1+ small & mini dry dog food
afghan hound,Inherited eye disorders,multi-benefit adult medium dry dog food
afghan hound,Inherited eye disorders,multi-benefit + weight adult 1+ medium dry dog food
afghan hound,Inherited eye disorders,multi-benefit puppy small & mini dry food
afghan hound,Inherited eye disorders,i/d digestive care dog food
afghan hound,Inherited eye disorders,multi-benefit puppy large breed dry food
afghan hound,Inherited eye disorders,adult small & mini breed dry dog food with lamb & rice
afghan hound,Inherited eye disorders,multi-benefit + dental adult 1+ small & mini dry dog food
afghan hound,Inherited eye disorders,multi-benefit + dental adult 1+ medium and large breed dry dog food
afghan hound,Inherited eye disorders,i/d dog food
afghan hound,Inherited eye disorders,senior small & mini breed dry dog food with chicken
afghan hound,Inherited eye disorders,mature adult small & mini breed dry dog food with chicken
afghan hound,Inherited eye disorders,multi-benefit puppy medium dry food
afghan hound,Inherited eye disorders,adult small & mini breed dry dog food with chicken
afghan hound,Inherited eye disorders,i/d digestive care wet dog food with turkey can
afghan hound,Inherited eye disorders,multi-benefit adult wet dog food
afghan hound,Inherited eye disorders,z/d food sensitivities dry dog food original bag
afghan hound,Inherited eye disorders,d/d potato & venison recipe dry dog food
afghan hound,Inherited eye disorders,d/d potato & duck recipe dog food
afghan hound,Inherited eye disorders,d/d duck formula wet dog food
afghan hound,Inherited eye disorders,z/d low fat hydrolyzed soy recipe dry dog food
afghan hound,Inherited eye disorders,puppy lamb meal & brown rice recipe
afghan hound,Inherited eye disorders,puppy chicken & rice stew
afghan hound,Inherited eye disorders,puppy small & mini beef & barley entrée
afghan hound,Inherited eye disorders,puppy chicken & barley entrée
afghan hound,Inherited eye disorders,puppy large breed chicken & brown rice recipe
afghan hound,Inherited eye disorders,"adult healthy cuisine roasted chicken, carrots & spinach stew dog food                 "
afghan hound,Inherited eye disorders,"hill's science diet adult healthy cuisine hearty beef, carrots & peas stew dog food    "
afghan hound,Inherited eye disorders,"adult 11+ small & mini chicken, brown rice & barley recipe dog food                    "
afghan hound,Inherited eye disorders,adult 7+ chicken & barley entrée dog food
afghan hound,Inherited eye disorders,adult lamb meal & brown rice recipe dog food
afghan hound,Inherited eye disorders,t/d chicken flavor dry dog food
afghan hound,Inherited eye disorders,j/d wet dog food
afghan hound,Inherited eye disorders,j/d dry dog food
afghan hound,Inherited eye disorders,hypo dog treats
afghan hound,Inherited eye disorders,d/d potato & venison recipe wet dog food
afghan hound,Inherited eye disorders,d/d salmon formula wet dog food
afghan hound,Inherited eye disorders,b/d chicken flavor dry dog food
afghan hound,Inherited eye disorders,"puppy no corn, wheat, soy chicken & brown rice recipe                                  "
afghan hound,Inherited eye disorders,puppy sensitive stomach & skin salmon & brown rice recipe
afghan hound,Inherited eye disorders,puppy small bites chicken & brown rice recipe
afghan hound,Inherited eye disorders,puppy small & mini chicken & brown rice recipe
afghan hound,Inherited eye disorders,adult light small & mini with chicken meal & barley dog food
afghan hound,Inherited eye disorders,"adult 7+ healthy cuisine hearty beef, carrots & peas stew dog food                     "
afghan hound,Inherited eye disorders,"i/d stress rice, vegetable & chicken stew dog food                                     "
afghan hound,Inherited eye disorders,i/d
afghan hound,Inherited eye disorders,i/d stress chicken flavor dry dog food
afghan hound,Inherited eye disorders,adult small bites lamb meal & brown rice recipe dog food
afghan hound,Inherited eye disorders,adult small & mini chicken & brown rice recipe dog food
afghan hound,Inherited eye disorders,adult 7+ turkey & barley entrée dog food
afghan hound,Inherited eye disorders,adult chicken & barley entrée dog food
afghan hound,Inherited eye disorders,adult chicken & beef entrée dog food
afghan hound,Inherited eye disorders,adult beef & barley entrée dog food
afghan hound,Inherited eye disorders,adult 7+ small & mini chicken & brown rice recipe dog food
afghan hound,Inherited eye disorders,adult small bites chicken & barley recipe dog food
afghan hound,Inherited eye disorders,adult large breed lamb meal & brown rice recipe dog food
afghan hound,Inherited eye disorders,adult light large breed chicken meal & barley recipe dog food
afghan hound,Inherited eye disorders,adult chicken & barley recipe dog food
afghan hound,Inherited eye disorders,adult small & mini lamb meal & brown rice recipe dog food
afghan hound,Inherited eye disorders,brain care + j/d dog food
afghan hound,Inherited eye disorders,brain care + j/d rice & turkey entrée dog food
afghan hound,Inherited eye disorders,z/d wet dog food
afghan hound,Inherited eye disorders,adult 7+ small paws chicken & barley entrée dog food
afghan hound,Inherited eye disorders,puppy savory stew with chicken & vegetables
afghan hound,Inherited eye disorders,adult turkey & barley dog food
afghan hound,Inherited eye disorders,adult light with liver dog food
afghan hound,Inherited eye disorders,puppy small paws chicken & barley entrée
afghan hound,Inherited musculoskeletal disorders,adult large breed dry dog food with lamb & rice
afghan hound,Inherited musculoskeletal disorders,adult large breed dry dog food with chicken
afghan hound,Inherited musculoskeletal disorders,healthy weight dog treats
afghan hound,Inherited musculoskeletal disorders,j/d wet dog food with chicken
afghan hound,Inherited musculoskeletal disorders,k/d + mobility dog food
afghan hound,Inherited musculoskeletal disorders,metabolic + mobility weight management dog food
afghan hound,Inherited musculoskeletal disorders,metabolic weight management dog food
afghan hound,Inherited musculoskeletal disorders,large breed mature adult dog food
afghan hound,Inherited musculoskeletal disorders,metabolic + mobility mini dog food
afghan hound,Inherited musculoskeletal disorders,perfect weight & active mobility adult large dry dog food chicken
afghan hound,Inherited musculoskeletal disorders,perfect weight & active mobility small & mini dry dog food chicken
afghan hound,Inherited musculoskeletal disorders,multi-benefit + weight adult 1+ large breed dry dog food
afghan hound,Inherited musculoskeletal disorders,multi-benefit + weight adult 1+ medium dry dog food
afghan hound,Inherited musculoskeletal disorders,perfect weight & active mobility adult medium dry dog food chicken
afghan hound,Inherited musculoskeletal disorders,metabolic stew for dog with chicken & vegetables
afghan hound,Inherited musculoskeletal disorders,metabolic mini dog food
afghan hound,Inherited musculoskeletal disorders,healthy mobility adult large breed adult dry dog food with chicken
afghan hound,Inherited musculoskeletal disorders,metabolic dry dog food with chicken
afghan hound,Inherited musculoskeletal disorders,metabolic + mobility dog food
afghan hound,Inherited musculoskeletal disorders,r/d dog food
afghan hound,Inherited musculoskeletal disorders,c/d multicare + metabolic dry dog food original bag
afghan hound,Inherited musculoskeletal disorders,j/d dry dog food original
afghan hound,Inherited musculoskeletal disorders,k/d + mobility stew for dogs
afghan hound,Inherited musculoskeletal disorders,healthy mobility adult small & mini breed dry dog food with chicken
afghan hound,Inherited musculoskeletal disorders,senior small & mini breed dry dog food with chicken
afghan hound,Inherited musculoskeletal disorders,r/d weight reduction dog food
afghan hound,Inherited musculoskeletal disorders,metabolic weight loss & maintenance wet dog food with chicken can
afghan hound,Inherited musculoskeletal disorders,healthy mobility adult medium breed dry dog food with chicken
afghan hound,Inherited musculoskeletal disorders,j/d reduced calorie dry dog food
afghan hound,Inherited musculoskeletal disorders,adult perfect weight & joint support hearty vegetables and tuna stew dog food
afghan hound,Inherited musculoskeletal disorders,"adult healthy mobility small bites chicken meal, brown rice & barley recipe dog food   "
afghan hound,Inherited musculoskeletal disorders,adult large breed chicken & barley recipe dog food
afghan hound,Inherited musculoskeletal disorders,"adult large breed no corn, wheat, soy chicken & brown rice recipe dog food             "
afghan hound,Inherited musculoskeletal disorders,adult light with chicken meal & barley dog food
afghan hound,Inherited musculoskeletal disorders,"adult 11+ small & mini chicken, brown rice & barley recipe dog food                    "
afghan hound,Inherited musculoskeletal disorders,natural flexi-stix turkey jerky treats dog treats
afghan hound,Inherited musculoskeletal disorders,natural flexi-stix beef jerky treats dog treats
afghan hound,Inherited musculoskeletal disorders,"adult 6+ large breed chicken meal, barley & rice recipe dog food                       "
afghan hound,Inherited musculoskeletal disorders,metabolic weight + j/d vegetable & tuna stew dog food
afghan hound,Inherited musculoskeletal disorders,r/d chicken flavor dry dog food
afghan hound,Inherited musculoskeletal disorders,metabolic weight + j/d chicken flavor dry dog food
afghan hound,Inherited musculoskeletal disorders,j/d small bites dry dog food
afghan hound,Inherited musculoskeletal disorders,j/d wet dog food
afghan hound,Inherited musculoskeletal disorders,j/d dry dog food
afghan hound,Inherited musculoskeletal disorders,adult light small bites with chicken meal & barley dog food
afghan hound,Inherited musculoskeletal disorders,adult light small & mini with chicken meal & barley dog food
afghan hound,Inherited musculoskeletal disorders,k/d + j/d chicken & vegetable stew dog food
afghan hound,Inherited musculoskeletal disorders,metabolic vegetable & chicken stew dog food
afghan hound,Inherited musculoskeletal disorders,metabolic vegetable & beef stew dog food
afghan hound,Inherited musculoskeletal disorders,metabolic lamb meal & rice formula dry dog food
afghan hound,Inherited musculoskeletal disorders,k/d + j/d chicken flavor dog food
afghan hound,Inherited musculoskeletal disorders,metabolic chicken flavor dog food
afghan hound,Inherited musculoskeletal disorders,c/d multicare + metabolic weight dry dog food
afghan hound,Inherited musculoskeletal disorders,metabolic chicken flavor wet dog food
afghan hound,Inherited musculoskeletal disorders,adult perfect weight & joint support chicken recipe dry dog food
afghan hound,Inherited musculoskeletal disorders,adult perfect weight with joint support large breed dog food
afghan hound,Inherited musculoskeletal disorders,adult large breed lamb meal & brown rice recipe dog food
afghan hound,Inherited musculoskeletal disorders,adult light large breed chicken meal & barley recipe dog food
afghan hound,Inherited musculoskeletal disorders,brain care + j/d dog food
afghan hound,Inherited musculoskeletal disorders,brain care + j/d rice & turkey entrée dog food
afghan hound,Inherited musculoskeletal disorders,"adult healthy mobility large breed chicken meal, brown rice & barley recipe dog food   "
afghan hound,Inherited musculoskeletal disorders,r/d chicken flavor wet dog food
afghan hound,Inherited musculoskeletal disorders,"adult 6+ large breed no corn, wheat, soy chicken & brown rice recipe dog food          "
afghan hound,Inherited musculoskeletal disorders,adult light with liver dog food
afghan hound,Inherited skin disorders,adult large breed dry dog food with lamb & rice
afghan hound,Inherited skin disorders,medium mature adult 7+ dog food with chicken dry bag
afghan hound,Inherited skin disorders,d/d food sensitivities dry dog food with duck & rice bag
afghan hound,Inherited skin disorders,adult large breed dry dog food with chicken
afghan hound,Inherited skin disorders,mature adult medium dog food
afghan hound,Inherited skin disorders,light adult wet dog food with chicken
afghan hound,Inherited skin disorders,oral care adult dry dog food with chicken
afghan hound,Inherited skin disorders,adult medium breed dry dog food with lamb & rice
afghan hound,Inherited skin disorders,hypoallergenic dog treats
afghan hound,Inherited skin disorders,j/d wet dog food with chicken
afghan hound,Inherited skin disorders,hypoallergenic adult large breed dry dog food with salmon
afghan hound,Inherited skin disorders,metabolic + mobility weight management dog food
afghan hound,Inherited skin disorders,hypoallergenic adult medium breed dry dog food with salmon
