Breed,Disease,Disorder,Recommended Recipes
akita,Entropion,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
akita,Microphthalmia; ocular dysgenesis,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
akita,Retinal dysplasia,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
akita,Glaucoma,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
akita,Progressive retinal atrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
akita,Pemphigus,Inherited immune disorders,"Adult Turkey & Barley Dog Food, Adult Chicken & Barley Entrée Dog Food, Adult Beef & Barley Entrée Dog Food"
akita,Hip dysplasia,Inherited musculoskeletal disorders,"Adult Healthy Mobility Large Breed Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Adult Healthy Mobility Small Bites Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Multi-Benefit Puppy Medium Dry Food"
akita,Pemphigus,Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
akita,sebaceous adenitis,Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
alaskan malamute,Diabetes mellitus,Inherited endocrine disorders,"w/d Dry Dog Food with Chicken, w/d Wet Dog Food with Chicken, i/d Low Fat Digestive Care Dog Food"
alaskan malamute,Hypothyroidism,Inherited endocrine disorders,"w/d Dry Dog Food with Chicken, w/d Wet Dog Food with Chicken, i/d Low Fat Digestive Care Dog Food"
alaskan malamute,Cataracts,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
alaskan malamute,Corneal dystrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
alaskan malamute,Glaucoma,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
alaskan malamute,Progressive retinal atrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
alaskan malamute,Hip dysplasia,Inherited musculoskeletal disorders,"Adult Healthy Mobility Large Breed Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Adult Healthy Mobility Small Bites Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Multi-Benefit Puppy Medium Dry Food"
alaskan malamute,Osteochondrodysplasia - skeletal dwarfism,Inherited musculoskeletal disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
alaskan malamute,Peripheral neuropathies,Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
alaskan malamute,zinc-responsive dermatosis,Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
american bulldog,Elbow dysplasia - OCD of the elbow,Inherited musculoskeletal disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
american bulldog,Hip dysplasia,Inherited musculoskeletal disorders,"Adult Healthy Mobility Large Breed Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Adult Healthy Mobility Small Bites Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Multi-Benefit Puppy Medium Dry Food"
american bulldog,Lysosomal storage diseases,Inherited nervous system disorders,"l/d Dry Dog Food Original, l/d Chicken Flavor Dog Food, l/d Chicken Flavor Wet Dog Food"
american eskimo dog,Pyruvate kinase (PK) deficiency,Inherited blood disorders,"u/d Chicken Flavor Wet Dog Food, w/d Multi-Benefit Chicken Flavor Wet Dog Food, u/d Dry Dog Food"
american staffordshire terrier,Disorders of sexual development - sexual reversal,Inherited disorders of the urinary and reproductive systems,"c/d Multicare Urinary Care Stew for Dog Food with Chicken & added Vegetables Can, c/d Multicare + Metabolic Weight Dry Dog Food, c/d Multicare Dry Dog Food with Chicken Bag"
american staffordshire terrier,Cataracts,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
american staffordshire terrier,Progressive retinal atrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
american staffordshire terrier,Hip dysplasia,Inherited musculoskeletal disorders,"Adult Healthy Mobility Large Breed Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Adult Healthy Mobility Small Bites Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Multi-Benefit Puppy Medium Dry Food"
american staffordshire terrier,Demodicosis/ Demodectic mange,Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
american water spaniel,Growth hormone-responsive dermatosis; adrenal sex hormone responsive dermatosis,Inherited endocrine disorders,"Gastrointestinal Biome Dry Dog Food, Gastrointestinal Biome Wet Dog Food, Gastrointestinal Biome Mini Dry Dog Food with Chicken Bag"
american water spaniel,Cataracts,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
american water spaniel,Retinal dysplasia,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
american water spaniel,Hip dysplasia,Inherited musculoskeletal disorders,"Adult Healthy Mobility Large Breed Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Adult Healthy Mobility Small Bites Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Multi-Benefit Puppy Medium Dry Food"
american water spaniel,Growth hormone-responsive dermatosis; adrenal sex hormone responsive dermatosis,Inherited skin disorders,"Gastrointestinal Biome Dry Dog Food, Gastrointestinal Biome Wet Dog Food, Gastrointestinal Biome Mini Dry Dog Food with Chicken Bag"
american water spaniel,pattern baldness,Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
australian cattle dog,Portosystemic shunt,Inherited cardiovascular disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
australian cattle dog,Cataracts,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
australian cattle dog,Retinal dysplasia,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
australian cattle dog,Progressive retinal atrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
australian cattle dog,Portosystemic shunt,Inherited gastrointestinal disorders,"Gastrointestinal Biome Mini Dry Dog Food with Chicken Bag, Gastrointestinal Biome Stew for Dogs with Chicken & added Carrots Can, Gastrointestinal Biome Dry Dog Food with Chicken Bag"
australian cattle dog,Hip dysplasia,Inherited musculoskeletal disorders,"Adult Healthy Mobility Large Breed Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Adult Healthy Mobility Small Bites Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Multi-Benefit Puppy Medium Dry Food"
australian cattle dog,Deafness,Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
australian cattle dog,Dermatomyositis and ulcerative dermatosis,Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
australian kelpie,Progressive retinal atrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
australian kelpie,Cerebellar abiotrophy(ataxia),Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
australian kelpie,Globoid cell leukodystrophy (galactocerebrosidosis),Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
australian kelpie,Cutaneous asthenia (Ehlers-Danlos syndrome),Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
australian shepherd,Cataracts,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
australian shepherd,Microphthalmia; ocular dysgenesis,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
australian shepherd,Pannus - chronic superficial keratitis,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
australian shepherd,Persistent pupillary membranes (PPM),Inherited eye disorders,"l/d Wet Dog Food Original, i/d Low Fat Digestive Care Wet Dog Food Original Can, k/d Kidney Care Wet Dog Food Original Can"
australian shepherd,Retinal dysplasia,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
australian shepherd,Collie eye anomaly (CEA),Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
australian shepherd,Progressive retinal atrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
australian shepherd,Hip dysplasia,Inherited musculoskeletal disorders,"Adult Healthy Mobility Large Breed Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Adult Healthy Mobility Small Bites Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Multi-Benefit Puppy Medium Dry Food"
australian shepherd,Deafness,Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
australian terrier,Retinal dysplasia,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
australian terrier,Progressive retinal atrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
basenji,Pyruvate kinase (PK) deficiency,Inherited blood disorders,"u/d Chicken Flavor Wet Dog Food, w/d Multi-Benefit Chicken Flavor Wet Dog Food, u/d Dry Dog Food"
basenji,Fanconi syndrome,Inherited disorders of the urinary and reproductive systems,"c/d Multicare Urinary Care Stew for Dog Food with Chicken & added Vegetables Can, c/d Multicare + Metabolic Weight Dry Dog Food, c/d Multicare Dry Dog Food with Chicken Bag"
basenji,Cataracts,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
basenji,Persistent pupillary membranes (PPM),Inherited eye disorders,"l/d Wet Dog Food Original, i/d Low Fat Digestive Care Wet Dog Food Original Can, k/d Kidney Care Wet Dog Food Original Can"
basenji,Retinal dysplasia,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
basenji,Corneal dystrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
basenji,Progressive retinal atrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
basenji,Immunoproliferative (Basenji) enteropathy/lymphocytic-plasmacytic enteritis,Inherited gastrointestinal disorders,"Gastrointestinal Biome Mini Dry Dog Food with Chicken Bag, Gastrointestinal Biome Stew for Dogs with Chicken & added Carrots Can, Gastrointestinal Biome Dry Dog Food with Chicken Bag"
basenji,Hip dysplasia,Inherited musculoskeletal disorders,"Adult Healthy Mobility Large Breed Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Adult Healthy Mobility Small Bites Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Multi-Benefit Puppy Medium Dry Food"
basset hound,"Platelet dysfunction (thrombocytopathia, Basset hound thrombopathia)",Inherited blood disorders,"u/d Chicken Flavor Wet Dog Food, w/d Multi-Benefit Chicken Flavor Wet Dog Food, u/d Dry Dog Food"
basset hound,Ectropion,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
basset hound,Entropion,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
basset hound,"Exposure keratopathy syndrome (exophthalmos, lagophthalmos, and/or macroblepharon)",Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
basset hound,"Third eyelid (nictitating membrane) abnormalities - ""cherry eye""",Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
basset hound,Glaucoma,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
basset hound,Severe combined immunodeficiency (SCID),Inherited immune disorders,"Adult Turkey & Barley Dog Food, Adult Chicken & Barley Entrée Dog Food, Adult Beef & Barley Entrée Dog Food"
basset hound,Cervical vertebral instability (Wobbler syndrome),Inherited musculoskeletal disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
basset hound,Elbow dysplasia - OCD of the elbow,Inherited musculoskeletal disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
basset hound,Panosteitis,Inherited musculoskeletal disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
basset hound,Patellar luxation,Inherited musculoskeletal disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
basset hound,Intervertebral disk disease,Inherited musculoskeletal disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
basset hound,Intervertebral disk disease,Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
basset hound,Cervical vertebral instability (Wobbler syndrome),Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
basset hound,Follicular dysplasias,Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
basset hound,seborrhea,Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
beagle,Mitral valve dysplasia,Inherited cardiovascular disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
beagle,Pulmonic stenosis,Inherited cardiovascular disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
beagle,Disorders of sexual development - sexual reversal,Inherited disorders of the urinary and reproductive systems,"c/d Multicare Urinary Care Stew for Dog Food with Chicken & added Vegetables Can, c/d Multicare + Metabolic Weight Dry Dog Food, c/d Multicare Dry Dog Food with Chicken Bag"
beagle,Cataracts,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
beagle,Microphthalmia; ocular dysgenesis,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
beagle,Retinal dysplasia,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
beagle,"Third eyelid (nictitating membrane) abnormalities - ""cherry eye""",Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
beagle,Corneal dystrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
beagle,Glaucoma,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
beagle,Progressive retinal atrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
beagle,Selective IgA deficiency,Inherited immune disorders,"Adult Turkey & Barley Dog Food, Adult Chicken & Barley Entrée Dog Food, Adult Beef & Barley Entrée Dog Food"
beagle,Cervical vertebral instability (Wobbler syndrome),Inherited musculoskeletal disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
beagle,Intervertebral disk disease,Inherited musculoskeletal disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
beagle,Cerebellar abiotrophy(ataxia),Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
beagle,Globoid cell leukodystrophy (galactocerebrosidosis),Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
beagle,Deafness,Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
beagle,Idiopathic epilepsy,Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
beagle,Intervertebral disk disease,Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
beagle,Shaker dog syndrome,Inherited nervous system disorders,"k/d starter kit Dog Food, Healthy Weight Dog Treats, Hypoallergenic Dog Treats"
beagle,Cervical vertebral instability (Wobbler syndrome),Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
