url                                                                                                                         , product title                                                                   , product description                                                             , need/preference, alternate product recommendation, flavour, breed size, lifestage, food form, key benefits                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , ingredients                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , helpful tips                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , nutrition and caloric content                                       , moisture, protein, fat   , carbohydrate (nfe), crude fibre, crude ash, soluble fibre, calcium, phospohorus, potassium, sodium, magnesium, taurine, vitamin a  , vitamin c, vitamin d , vitamin e , thiamine (vitamin b1), riboflavin (vitamin b2), niacin (vitamin b3), pyridoxine (vitamin b6), pantothenic acid (vitamin b5), folic acid (vitamin b9), vitamin b12 (cobalamin), biotin (vitamin b7), dha    , epa    , epa + dha, omega-3-fatty acids, omega-6-fatty acids, beta-carotene, l-carnitine, glucosamine, chondroitin sulfate, total dietary fibre, iron   , copper  , zinc   , l-arginine, glutamine + glutamate, linoleic acid, essential fatty acids, chloride, sulphur, hydroxyproline, l-lysine, dl-methionine + l-cystine, insoluble fibre, starch, bcaa total, sizes                    , recommended for
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-adult-perfect-weight-mini-with-chicken-dry                       , Perfect Weight Adult Small & Mini Breed Dry Dog Food with Chicken               , Perfect Weight Adult Small & Mini Breed Dry Dog Food with Chicken               , N/A            , N/A                             , N/A    , N/A       , N/A      , N/A      , "Hill's Science Plan Perfect Weight Small & Mini Adult dog food with Chicken provides delicious, clinically proven nutrition to reach & maintain healthy weight. Our high protein, high fibre formula enriched with L-carnitine & coconut oil helps support pets' metabolism. Key Benefits - Safe & effective weight loss with visible results - Healthy weight maintenance & long lasting weight support - Prebiotic fibres for gentle digestion"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , "COMPOSITION: Wheat, maize gluten meal, maize, chicken and turkey meal, pea bran meal, digest, cellulose, dried tomato pomace, flaxseed, animal fat, dried beet pulp, coconut oil (2.2%), minerals, dried carrots. ANALYTICAL CONSTITUENTS: Protein 25.4%, Fat content 11.3%, Crude fibre 12.1%, Crude ash 5.2%, Calcium 0.75%, Phosphorus 0.61%, Sodium 0.28%, Potassium 0.78%, Magnesium 0.12%; per kg: Vitamin A 11,662IU, Vitamin D3 776IU, Vitamin E 690mg, Vitamin C 105mg, Beta-carotene 1.5mg, L-Carnitine 377mg. ADDITIVES PER KG: Nutritional additives: 3b103 (Iron) 75.3mg, 3b202 (Iodine) 1.2mg, 3b405 (Copper) 7.4mg, 3b502 (Manganese) 7.8mg, 3b603 (Zinc) 156mg, 3b801 (Selenium) 0.2mg; with natural antioxidant."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , "Adjust feeding amounts as necessary to maintain optimal weight. If you are unsure, ask your veterinarian. New to this food? Mix increasing amounts of your pet's new food with decreasing amounts of the old food over a 7-day period. Keep fresh water available at all times! Your pets nutritional needs may change as they age. Ask your vet at every checkup. To prevent suffocation, keep the packaging out of the reach of pets and children."                                                                                                                                                                                                                                                                                                                                                                , 3181 kcal/kg (318 kcal/100g)                                        , 8 %     , 25.5 % , 11.3 %, 37.8 %            , 12.1 %     , 5.2 %    ,              , 0.76 % , 0.61 %     , 0.78 %   , 0.28 %, 0.123 %  ,        , 11677 IU/kg, 110 ppm  , 777 IU/kg , 411 IU/kg ,                      ,                        ,                    ,                        ,                              ,                        ,                        ,                    ,        ,        ,          , 0.67 %             , 2.21 %             , 5.19 ppm     , 377.8 ppm  ,            ,                    ,                    ,        ,         ,        ,           ,                      ,              ,                      ,         ,        ,               ,         ,                          ,                ,       ,           , "1.5kg, 6kg"             , "Adult dogs 1+ years of age that weigh up to 10kg when full grown and require fewer calories (i.e. dogs that are less active, neutered or otherwise prone to weight gain)"
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-id-low-fat-dry                                              , i/d Low Fat Dog Food                                                            , i/d Low Fat Dog Food                                                            , N/A            , N/A                             , N/A    , N/A       , N/A      , N/A      , "Hill's Prescription Diet i/d Low Fat is great tasting nutrition to help settle digestive upsets for dogs that need a low fat formula. Inappropriate levels of fat in the blood, inability to digest fat, or lack of digestive enzymes can affect your dog's digestive health. Efficient digestion is essential for your dog to be able to build and repair tissues and obtain energy, and for these reasons it is important to feed a food that is formulated to help support digestive health. For many dogs experiencing digestive challenges, it's also very important to feed a food with a low fat level. Hill's Prescription Diet i/d Low Fat Dry Dog Food is specially formulated for dogs requiring a highly digestible food with low fat levels to support digestive health and well-being. It is also fortified with Hill's breakthrough ActivBiome+ Ingredient Technology clinically shown to rapidly activate the gut microbiome to support digestive health and well-being. This dry food has an irresistible chicken flavor that dogs love."                                                                                                                                                                                                                                                                                                                         , "COMPOSITION: Cereals, meat and animal derivatives (chicken 9%), vegetable protein extracts, derivatives of vegetable origin, oils and fats, seeds, minerals, vegetables (ginger 1%), fruit. Highly digestible ingredients: Broken rice, chicken and turkey meal, maize gluten meal, animal fat. ActivBiome+ prebiotic blend (7.5%): Dried beet pulp, flaxseed, ground pecan shell, dried citrus pulp, dried cranberries. ANALYTICAL CONSTITUENTS: Protein 23.8%, Fat content 8.2%, Crude fibre 2.1%, Crude ash 5.4%, Omega-3 fatty acids 0.5%, Calcium 0.80%, Phosphorus 0.59%, Sodium 0.41%, Potassium 0.73%, Magnesium 0.08%; per kg: Vitamin A 8,480IU, Vitamin D3 715IU, Vitamin E 634mg, Vitamin C 100mg, Beta-carotene 0.8mg. ADDITIVES PER KG: Nutritional additives: 3b103 (Iron) 68.1mg, 3b202 (Iodine) 1.7mg, 3b405 (Copper) 6.7mg, 3b502 (Manganese) 7.0mg, 3b603 (Zinc) 119mg, 3b801 (Selenium) 0.2mg, with natural antioxidant."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , "Feed only this food. It is recommended that a veterinarian’s opinion be sought before use. Feed the correct daily amount shown according to dog’s size. Adjust amount to maintain optimum weight; the amount may be divided into 2+ meals/day. Recommended time of use: initially up to 12 weeks, but lifetime in cases of chronic pancreatic insufficiency. Fresh water should be available at all times."                                                                                                                                                                                                                                                                                                                                                                                                          , 3345 kcal/kg (335 kcal/100g)                                        , 9 %     , 23.8 % , 8.2 % , 51.9 %            , 2.1 %      , 5.4 %    ,              , 0.8 %  , 0.59 %     , 0.73 %   , 0.41 %, 0.079 %  ,        , 8480 IU/kg , 100 ppm  , 714 IU/kg , 576 IU/kg ,                      ,                        ,                    ,                        ,                              ,                        ,                        ,                    ,        ,        ,          , 0.55 %             , 1.75 %             , 0.75 ppm     ,            ,            ,                    ,                    ,        ,         ,        ,           ,                      ,              ,                      ,         ,        ,               ,         ,                          ,                ,       ,           , "1.5kg, 4kg, 12kg"       , 
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-mature-adult-7-plus-small-and-miniature-dry                      , Mature Adult Small & Mini Breed Dry Dog Food with Chicken                       , Mature Adult Small & Mini Breed Dry Dog Food with Chicken                       , N/A            , N/A                             , N/A    , N/A       , N/A      , N/A      , "Big on Love, Small in Size. Hill's Science Plan Small & Mini Mature Adult 7+ dog food with Chicken is tailored nutrition to support graceful aging in Small & Mini dogs. Specially made with our smallest kibble & a synergistic blend of nutrients for energy & vigor. - Balanced minerals for heart, kidney & bladder health - Nourishing Omega-6 & Vitamin E blend for healthy skin & luxurious coat - Easy-to-digest ingredients for healthy digestion - Contains our special Small & Mini antioxidant blend for lifelong immune support"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , "COMPOSITION: Chicken and turkey meal, wheat, brewers' rice, brown rice, maize, animal fat, digest, barley, oats, dried beet pulp, vegetable oil, flaxseed, minerals, dried tomato pomace, dried citrus pulp, spinach powder. ANALYTICAL CONSTITUENTS: Protein 17.8%, Fat content 14.5%, Crude fibre 2.3%, Omega-6 fatty acids 3.6%, Crude ash 5.2%, Calcium 0.80%, Phosphorus 0.59%, Sodium 0.25%, Potassium 0.76%, Magnesium 0.10%; per kg: Vitamin A 10,904IU, Vitamin D3 758IU, Vitamin E 690mg, Vitamin C 105mg, Beta-carotene 1.5mg. ADDITIVES PER KG: Nutritional additives: 3b103 (Iron) 71.7mg, 3b202 (Iodine) 1.1mg, 3b405 (Copper) 7.1mg, 3b502 (Manganese) 7.4mg, 3b603 (Zinc) 148mg, 3b801 (Selenium) 0.2mg."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , "Adjust feeding amounts as necessary to maintain optimal weight. If you are unsure, ask your veterinarian. New to this food? Mix increasing amounts of your pet's new food with decreasing amounts of the old food over a 7-day period. Keep fresh water available at all times! Your pets nutritional needs may change as they age. Ask your vet at every checkup. To prevent suffocation, keep the packaging out of the reach of pets and children."                                                                                                                                                                                                                                                                                                                                                                , 3684 kcal/kg (368 kcal/100g)                                        ,         , 17.9 % , 14.5 %, 52.1 %            , 2.3 %      , 5.2 %    ,              , 0.8 %  , 0.59 %     , 0.76 %   , 0.25 %, 0.1 %    ,        , 10917 IU/kg, 117 ppm  , 759 IU/kg , 572 IU/kg ,                      ,                        ,                    ,                        ,                              ,                        ,                        ,                    ,        ,        ,          , 0.93 %             , 3.62 %             , 2.4 ppm      , 317 ppm    , 321 ppm    ,                    ,                    ,        ,         ,        ,           ,                      ,              ,                      ,         ,        ,               ,         ,                          ,                ,       ,           , "1.5kg, 3kg, 6kg"        , Mature Adult dogs 7+ years of age that weigh up to 10kg when full grown.
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-rd-canned                                                   , r/d Weight Reduction Dog Food                                                   , r/d Weight Reduction Dog Food                                                   , N/A            , N/A                             , N/A    , N/A       , N/A      , N/A      , "Even a little extra weight can impact the pet's quality of life and relationship with family because that extra weight can reduce play time, impact mobility and affect the lifelong general health of your dog. Hill's nutritionists & veterinarians developed Prescription Diet r/d clinical nutrition specially formulated to support dogs' weight loss. In fact, r/d is clinically proven nutrition for healthy weight loss in just 8 weeks. This wet food has an irresistible taste that your dog will love."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , "COMPOSITION: Meat and animal derivatives, cereals, derivatives of vegetable origin, vegetable protein extracts, eggs and egg derivatives, oils and fats, minerals. ANALYTICAL CONSTITUENTS: Protein 8.4%, Fat content 2.2%, Crude fibre 3.4%, Crude ash 1.7%, Moisture 75.0%, Calcium 0.22%, Phosphorus 0.15%, Sodium 0.09%, Potassium 0.22%, Magnesium 0.02%; per kg: Vitamin A 21,345IU, Vitamin D3 240IU, L-carnitine 82.2mg. ADDITIVES PER KG: Nutritional additives: 3b103 (Iron) 15.5mg, 3b202 (Iodine) 0.5mg, 3b405 (Copper) 2.6mg, 3b502 (Manganese) 3.4mg, 3b603 (Zinc) 39.9mg. Metabolisable energy: 806 kcal/kg."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , "Ask your veterinarian for specific feeding instructions for your pet. This is only a guide. Grams are the most accurate form of measurement. For best results: – Gradually transition to this new food for 7 days or more. – Exclusively feed the recommended Prescription Diet dry and wet foods. – Keep fresh water available at all times. – Have your veterinarian monitor your pet's condition. – To prevent suffocation, keep the packaging out of the reach of pets & children."                                                                                                                                                                                                                                                                                                                              , 282 kcal/can                                                        , 75 %    , 8.4 %  , 2.2 % , 9.2 %             , 3.4 %      , 1.7 %    ,              , 0.22 % , 0.15 %     , 0.22 %   , 0.09 %, 0.022 %  , 0.03 % , 24697 IU/kg, 16 ppm   , 247 IU/kg , 222 IU/kg ,                      ,                        ,                    ,                        ,                              ,                        ,                        ,                    , 0.005 %, 0 %    ,          , 0.09 %             , 0.82 %             , 0.43 ppm     , 82.2 ppm   , 20 ppm     , 0 ppm              , 6.3 %              ,        ,         ,        ,           ,                      ,              ,                      ,         ,        ,               , 0.52 %  ,                          ,                , 6.9 % ,           , 350g                     , 
https://www.hillspet.co.uk/dog-food/ve-canine-vetessentials-puppy-dry                                                       , Multi-Benefit Puppy Medium Dry Food                                             , Multi-Benefit Puppy Medium Dry Food                                             , N/A            , N/A                             , N/A    , N/A       , N/A      , N/A      , "Available exclusively through your veterinarian, Hill's VET ESSENTIALS GROWTH Medium Puppy food with chicken provides advanced nutrition with clinically proven benefits: Antioxidant blend for immune system support and ActivBiome+ technology for healthy digestion."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , "COMPOSITION: Chicken and turkey meal (chicken 18%; total poultry 28%), maize, wheat, animal fat, digest, maize gluten meal, fish oil (1.9%), minerals, vegetable oil, ground pecan shell, dried beet pulp, flaxseed, dried citrus pulp, dried cranberries. ActivBiome+ prebiotic blend (4%): Ground pecan shell, dried beet pulp, flaxseed, dried citrus pulp, dried cranberries. ANALYTICAL CONSTITUENTS: Protein 28.0%, Fat content 18.4%, Crude fibre 2.2%, Crude ash 7.7%, Omega-3 fatty acids 1.1%, Omega-6 fatty acids 3.6%, DHA 0.21%, Calcium 1.5%, Phosphorus 1.1%, Sodium 0.51%, Potassium 0.87%, Magnesium 0.12%; per kg: Vitamin A 9,295IU, Vitamin D3 711IU, Vitamin E 950mg, Vitamin C 100mg, Beta-carotene 1.5mg. ADDITIVES PER KG: Nutritional additives: 3b103 (Iron) 83.7mg, 3b202 (Iodine) 2.8mg, 3b405 (Copper) 9.0mg, 3b502 (Manganese) 8.7mg, 3b603 (Zinc) 139mg, 3b801 (Selenium) 0.1mg, with natural antioxidant."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , "FOR PUPPIES: Initially feed the daily amount shown; adjust amount to maintain optimum weight. If unsure - ask your veterinarian. Switch to Hill's VET ESSENTIALS MULTI-BENEFIT + DIGESTION ADULT MEDIUM DOG FOOD at 12 months old. FOR WEANING PUPPIES: Add warm water to the kibbles, let soak, mix into a paste. Gradually reduce added water until the puppy eats dry kibbles. This food can also be fed to neutered puppies. FOR PREGNANT BITCHES: Feed 2–4 meals a day. FOR NURSING BITCHES: Keep food available at all times. New to this food? Mix increasing amounts of the new food with decreasing amounts of the previous food over a 7 day period. Fresh water should be available at all times."                                                                                                        , 3792 kcal/kg (379 kcal/100g)                                        ,         , 28 %   , 18.4 %, 35.7 %            , 2.2 %      ,          ,              , 1.46 % , 1.14 %     , 0.87 %   , 0.51 %, 0.118 %  ,        ,            , 101 ppm  ,           , 750 IU/kg ,                      ,                        ,                    ,                        ,                              ,                        ,                        ,                    , 0.21 % ,        ,          , 1.1 %              , 3.64 %             ,              , 21.7 ppm   ,            ,                    ,                    ,        ,         ,        ,           ,                      ,              ,                      ,         ,        ,               ,         ,                          ,                ,       ,           , "700g, 2kg, 8kg"         , Puppies up to 1 year old and pregnant or nursing dogs.
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-cd-multicare-canned                                         , c/d Multicare Wet Dog Food                                                      , c/d Multicare Wet Dog Food                                                      , N/A            , N/A                             , N/A    , N/A       , N/A      , N/A      , Bladder stones are collections of mineral crystals that combine together in the urinary tract. They can cause discomfort and lead to more serious problems that require the care of a veterinarian. Hill's nutritionists & veterinarians developed Prescription Diet c/d Multicare clinical nutrition specially formulated to support a dog's urinary health and reduce the risk of struvite and calcium oxalate stones. This wet food is made with chicken and has an irresistible taste that your dog will love.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , "COMPOSITION: Meat and animal derivatives (chicken 19%), cereals, derivatives of vegetable origin, minerals, oils and fats, seeds, molluscs and crustaceans. Urine alkalising substances: Potassium citrate (4.4 g/kg). ANALYTICAL CONSTITUENTS: Protein 6.9%, Fat content 5.4%, Crude fibre 0.89%, Crude ash 1.6%, Moisture 70.2%, Chlorides 0.14%, Sulphur 0.18%, Hydroxyproline 0.03%, Calcium 0.25%, Phosphorus 0.15%, Sodium 0.07%, Potassium 0.26%, Magnesium 0.02%; per kg: Vitamin A 19,244IU, Vitamin D3 296IU. ADDITIVES PER KG: Nutritional additives: 3b103 (Iron) 20.3mg, 3b202 (Iodine) 0.7mg, 3b405 (Copper) 3.4mg, 3b502 (Manganese) 4.5mg, 3b603 (Zinc) 52.3mg."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , "Ask your veterinarian for specific feeding instructions for your pet. This is only a guide. Grams are the most accurate form of measurement. For best results: – Gradually transition to this new food for 7 days or more. – Exclusively feed the recommended Prescription Diet dry and wet foods. – Keep fresh water available at all times. – Have your veterinarian monitor your pet's condition. – To prevent suffocation, keep the packaging out of the reach of pets & children."                                                                                                                                                                                                                                                                                                                              , 457 kcal/can                                                        , 70 %    , 6.9 %  , 5.7 % , 14.7 %            , 0.9 %      , 1.6 %    ,              , 0.25 % , 0.15 %     , 0.26 %   , 0.07 %, 0.023 %  , 0.03 % , 19201 IU/kg,          , 263 IU/kg , 261 IU/kg ,                      ,                        ,                    ,                        ,                              ,                        ,                        ,                    , 0.046 %, 0.065 %, 0.11 %   , 0.26 %             , 1.36 %             , 0.51 ppm     , 110.7 ppm  ,            ,                    , 2.1 %              ,        , 6 ppm   ,        ,           ,                      ,              ,                      , 0.14 %  , 0.18 % , 0.03 %        , 0.43 %  , 0.32 %                   ,                ,       ,           , 370g                     , 
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-adult-small-and-miniature-chicken-turkey-dry                     , Adult Small & Mini Breed Dry Dog Food with Chicken                              , Adult Small & Mini Breed Dry Dog Food with Chicken                              , N/A            , N/A                             , N/A    , N/A       , N/A      , N/A      , "Big on Love, Small in Size. Hill's Science Plan Small & Mini Adult dog food with Chicken is tailored nutrition for the unique needs of Small & Mini dogs during the prime of their life. Specially made with smallest kibble. Easy-to-digest ingredients for healthy digestion. Nourishing Omega-6 & Vitamin E blend for healthy skin & luxurious coat. High-quality protein for lean muscles. Contains our special Small & Mini antioxidant blend for lifelong immune support"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , "COMPOSITION: Chicken (13%) and turkey meal (total poultry 21%), maize, wheat, brewers' rice, animal fat, digest, vegetable oil, minerals, flaxseed, dried tomato pomace, spinach powder, dried citrus pulp. ANALYTICAL CONSTITUENTS: Protein 22.7%, Fat content 14.3%, Crude fibre 1.3%, Crude ash 4.9%, Omega-6 fatty acids 3.5%, Calcium 0.80%, Phosphorus 0.68%, Sodium 0.29%, Potassium 0.72%, Magnesium 0.08%; per kg: Vitamin A 10,785IU, Vitamin D3 801IU, Vitamin E 690mg, Vitamin C 105mg, Beta-carotene 1.5mg. ADDITIVES PER KG: Nutritional additives: 3b103 (Iron) 68.3mg, 3b202 (Iodine) 1.7mg, 3b405 (Copper) 6.7mg, 3b502 (Manganese) 7.1mg, 3b801 (Selenium) 0.2mg, with natural antioxidant."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , "Adjust feeding amounts as necessary to maintain optimal weight. If you are unsure, ask your veterinarian.New to this food? Mix increasing amounts of your pet's new food with decreasing amounts of the old food over a 7-day period.Keep fresh water available at all times!Your pets nutritional needs may change as they age. Ask your vet at every checkup.To prevent suffocation, keep the packaging out of the reach of pets and children."                                                                                                                                                                                                                                                                                                                                                                    , 3731 kcal/kg (373 kcal/100g)                                        , 8 %     , 22.7 % , 14.5 %, 48.6 %            , 1.3 %      , 5 %      ,              , 0.82 % , 0.68 %     , 0.72 %   , 0.3 % , 0.083 %  ,        , 10813 IU/kg, 117 ppm  , 749 IU/kg , 566 IU/kg ,                      ,                        ,                    ,                        ,                              ,                        ,                        ,                    ,        ,        ,          , 0.53 %             , 3.5 %              , 2.42 ppm     ,            ,            ,                    ,                    ,        ,         ,        ,           ,                      ,              ,                      ,         ,        ,               ,         ,                          ,                ,       ,           , "1.5kg, 3kg, 6kg"        , Adult dogs 1 - 6 years of age that weigh up to 10 kg when full grown.
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-adult-medium-savoury-chicken-canned                              , Adult Wet Dog Food with Chicken                                                 , Adult Wet Dog Food with Chicken                                                 , N/A            , N/A                             , N/A    , N/A       , N/A      , N/A      , "Your dog will love the taste of Hill's Science Plan Adult dog food with Chicken, with its soft, smooth texture. It has the perfect balance of taste and nutrition for your dog. Precisely balanced to deliver the appropriate amount of energy to support ideal body weight in adult dogs ages 1 – 6."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , "COMPOSITION: Meat and animal derivatives (chicken 9%), cereals, minerals, oils and fats, derivatives of vegetable origin. ANALYTICAL CONSTITUENTS: Protein 6.2%, Fat content 3.4%, Crude fibre 0.45%, Crude ash 1.4%, Moisture 77.0%, per kg: Vitamin A 20,427IU, Vitamin D3 205IU. ADDITIVES PER KG: Nutritional additives: 3b103 (Iron) 10.0mg, 3b202 (Iodine) 0.3mg, 3b405 (Copper) 1.6mg, 3b502 (Manganese) 2.2mg, 3b603 (Zinc) 25.7mg."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , "Adjust feeding amounts as necessary to maintain optimal weight. If you are unsure, ask your veterinarian. New to this food? Mix increasing amounts of your pet's new food with decreasing amounts of the old food over a 7-day period. Keep fresh water available at all times! Your pets nutritional needs may change as they age. Ask your vet at every checkup. To prevent suffocation, keep the packaging out of the reach of pets and children."                                                                                                                                                                                                                                                                                                                                                                , 337.4 kcal (370 g) can                                              , 77 %    , 6.1 %  , 3.5 % , 11.4 %            , 0.5 %      , 1.4 %    ,              , 0.21 % , 0.15 %     , 0.19 %   , 0.07 %, 0.02 %   ,        , 20410 IU/kg, 17 ppm   , 182 IU/kg , 100 IU/kg ,                      ,                        ,                    ,                        ,                              ,                        ,                        ,                    ,        ,        ,          , 0.09 %             , 0.95 %             , 0.17 ppm     ,            ,            ,                    ,                    ,        ,         ,        ,           ,                      ,              ,                      ,         ,        ,               ,         ,                          ,                ,       ,           , 370g                     , Adult dogs 1 - 6 years of age.
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-zd-mini-original-dry                                        , z/d Mini Food Sensitivities Dry Dog Food Original Bag                           , z/d Mini Food Sensitivities Dry Dog Food Original Bag                           , N/A            , N/A                             , N/A    , N/A       , N/A      , N/A      , "Food sensitivities and intolerance are potentially serious problems that can result in irritated skin, coat and ear conditions or even gastrointestinal upset. Dogs that have adverse food reactions due to a food allergy (typically to a protein in the food) or intolerance, benefit from a food designed for food sensitivities. Hill's nutritionists and veterinarians developed Prescription Diet z/d Small Bites clinical nutrition specially formulated to support a dog's food sensitivities. In fact, z/d Small Bites is clinically proven nutrition to help avoid adverse food reactions."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , "COMPOSITION: Derivatives of vegetable origin, meat and animal derivatives, oils and fats (fish oil 0.9%), fruit, minerals, seeds. Protein source: Chicken liver hydrolysate (26%). Carbohydrate source: Maize starch. ANALYTICAL CONSTITUENTS: Protein 17.6%, Fat content 14.4%, Crude fibre 6.5%, Essential fatty acids 4.2%, Crude ash 5.5%, Calcium 0.85%, Phosphorus 0.51%, Sodium 0.24%, Potassium 0.69%, Magnesium 0.07%; per kg: Vitamin A 11,421IU, Vitamin D3 786IU, Vitamin E 826mg, Vitamin C 115mg, Beta-carotene 1.4mg. ADDITIVES PER KG: Nutritional additives: 3b103 (Iron) 94.7mg, 3b202 (Iodine) 4.1mg, 3b405 (Copper) 11.1mg, 3b502 (Manganese) 9.8mg, 3b603 (Zinc) 147mg, with natural antioxidant."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , "Feed only this food. It is recommended that a veterinarian’s opinion be sought before use / extending the period of use . Feed the correct daily amount shown according to dog's size. Adjust amount to maintain optimum weight; the amount may be divided into 2+ meals/day. Recommended time of use: 3 to 8 weeks; if signs of intolerance disappear, this feed can be used initially up to one year. Fresh water should be available at all times."                                                                                                                                                                                                                                                                                                                                                               , 3534 kcal/kg (353 kcal/100g)                                        , 8 %     , 17.6 % , 14.4 %, 48 %              , 6.5 %      , 5.5 %    ,              , 0.85 % , 0.51 %     , 0.69 %   , 0.24 %, 0.074 %  ,        , 11421 IU/kg, 116 ppm  , 786 IU/kg , 827 IU/kg ,                      ,                        ,                    ,                        ,                              ,                        ,                        ,                    ,        ,        ,          , 1.14 %             , 3.1 %              , 5.99 ppm     ,            ,            ,                    ,                    ,        ,         ,        ,           ,                      ,              ,                      ,         ,        ,               ,         ,                          ,                ,       ,           , "1kg, 6kg"               , 
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-id-sensitive-dry                                            , i/d Sensitive Dog Food                                                          , i/d Sensitive Dog Food                                                          , N/A            , N/A                             , N/A    , N/A       , N/A      , N/A      , Hill's Prescription Diet i/d Sensitive dietetic pet food provides all the nutrition your dog needs and can be used long-term. Please consult your veterinarian for further information on how our Prescription Diet foods can help your dog to continue to enjoy a happy and active life. This dry food is made with delicious ingredients and has an irresistible taste that dogs love.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , "COMPOSITION: Cereals (brewers' rice 30%), eggs (18%) and egg derivatives, vegetable protein extracts, oils and fats, minerals, derivatives of vegetable origin, meat and animal derivatives, fruit, seeds. Highly digestible ingredients: Brewers' rice, dried whole eggs, maize gluten meal, animal fat, vegetable oil. Protein sources: Dried whole eggs, maize gluten meal. Carbohydrate sources: Brewers' rice, barley, oats. ANALYTICAL CONSTITUENTS: Protein 23.9%, Fat content 20.5%, Crude fibre 3.1%, Crude ash 6.7%, Calcium 1.0%, Phosphorus 0.76%, Sodium 0.39%, Potassium 0.85%, Magnesium 0.09%; per kg: Vitamin A 12,320IU, Vitamin D3 1,003IU, Vitamin E 600mg, Vitamin C 100mg, Beta-carotene 1.5mg. ADDITIVES PER KG: Nutritional additives: 3b103 (Iron) 104mg, 3b202 (Iodine) 4.6mg, 3b405 (Copper) 12.2mg, 3b502 (Manganese) 10.8mg, 3b603 (Zinc) 162mg, with natural antioxidant."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , "Please note - for customers who have previously fed this diet prior to the inclusion of ActivBiome+ technology, it is recommended you transition your pet to the upgraded formula over a 7 day period. Please consult your vet for any additional information Ask your veterinarian for specific feeding instructions for your pet. This is only a guide. Grams are the most accurate form of measurement. In case you are using Hill's measuring cup please refer to here For best results: – Gradually transition to this new food for 7 days or more. – Exclusively feed the recommended Prescription Diet dry and wet foods. – Keep fresh water available at all times. – Have your veterinarian monitor your pet's condition. – To prevent suffocation, keep the packaging out of the reach of pets & children.", 3904 kcal/kg (390 kcal/100g)                                        , 8 %     , 23.9 % , 20.5 %, 37.9 %            , 3.1 %      , 6.7 %    ,              , 1.01 % , 0.76 %     , 0.85 %   , 0.39 %, 0.086 %  ,        , 12320 IU/kg, 111 ppm  , 1003 IU/kg, 603 IU/kg ,                      ,                        ,                    ,                        ,                              ,                        ,                        ,                    ,        ,        ,          , 0.38 %             , 3.47 %             , 0.83 ppm     ,            ,            ,                    ,                    ,        ,         ,        ,           ,                      ,              ,                      ,         ,        ,               ,         ,                          ,                ,       ,           , "1.5kg, 4kg, 12kg"       , 
