   , Breed                     , Disease                                  , Count        , description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , temperament                              , popularity, min_height, max_height, min_weight         , max_weight        , min_expectancy, max_expectancy, group                   , grooming_frequency_value, grooming_frequency_category, shedding_value, shedding_category, energy_level_value, energy_level_category , trainability_value, trainability_category, demeanor_value, demeanor_category
 10, Pekingese                 , Urolithiasis (stones)                    , 2            , "Pekingese are compact, stocky toy dogs weighing up to 14 pounds. The coat is longest at the neck and shoulders, giving Pekes their famous “lion’s mane.” Coats come in various reds, from a golden-red to darker shades. The large, short-muzzled head is a wider-than-long “envelope shaped” rectangle, and the eyes are large, dark, and sparkly. A unique feature of Pekes is their effortless “rolling” gait.Pekes are charming, confident companions who develop a tight bond with their favorite human. Bred to live in palaces, they can be as serenely independent as the emperors who owned them. (They’re “opinionated,” Peke people say.) Ever alert, they make good watchdogs. Pekes will tolerate kids but won’t stand for a lot of roughhousing. The Pekingese, a compact toy companion of regal bearing and a distinctive rolling gait, is one of several breeds created for the ruling classes of ancient China. These are sophisticated dogs of undying loyalty and many subtle delights."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , "Affectionate, Loyal, Regal in Manner"   ,         92,      15.24,      22.86,  6.35029318        ,  6.35029318       ,           12.0,           14.0, Toy Group               ,                      0.6, 2-3 Times a Week Brushing  ,            0.6, Seasonal         ,                0.4, Calm                  ,                0.2, May be Stubborn      ,            0.4, Reserved with Strangers
 11, Dachshund                 , Urolithiasis (stones)                    , 2+1          , "The word “icon” is terribly overworked, but the Dachshund—with his unmistakable long-backed body, little legs, and big personality—is truly an icon of purebred dogdom. Dachshunds can be standard-sized (usually 16 to 32 pounds) or miniature (11 pounds or under), and come in one of three coat types: smooth, wirehaired, or longhaired.Dachshunds aren’t built for distance running, leaping, or strenuous swimming, but otherwise these tireless hounds are game for anything. Smart and vigilant, with a big-dog bark, they make fine watchdogs. Bred to be an independent hunter of dangerous prey, they can be brave to the point of rashness, and a bit stubborn, but their endearing nature and unique look has won millions of hearts the world over. The famously long, low silhouette, ever-alert expression, and bold, vivacious personality of the Dachshund have made him a superstar of the canine kingdom. Dachshunds come in two sizes and in three coat types of various colors and patterns."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , "Friendly, Curious, Spunky"              ,         12,      12.7 ,      22.86,  4.9895160700000005, 14.51495584       ,           12.0,           16.0, Hound Group             ,                      0.4, Weekly Brushing            ,            0.4, Occasional       ,                0.6, Regular Exercise      ,                0.6, Agreeable            ,            0.6, Alert/Responsive
 12, Cocker Spaniel            , Urolithiasis (stones)                    , 0            , "Those big, dark eyes; that sweet expression; those long, lush ears that practically demand to be touched—no wonder the Cocker spent years as America’s most popular breed. The Cocker is the AKC’s smallest sporting spaniel, standing about 14 to 15 inches. The coat comes in enough colors and patterns to please any taste. The well-balanced body is sturdy and solid, and these quick, durable gundogs move with a smooth, easy gait.Cockers are eager playmates for kids and are easily trained as companions and athletes. They are big enough to be sporty, but compact enough to be portable. A Cocker in full coat rewards extra grooming time by being the prettiest dog on the block. These energetic sporting dogs love playtime and brisk walks. The merry and frolicsome Cocker Spaniel, with his big, dreamy eyes and impish personality, is one of the world’s best-loved breeds. They were developed as hunting dogs, but Cockers gained their wide popularity as all-around companions."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , "Gentle, Smart, Happy"                   ,         30,      34.29,      39.37,  9.0718474         , 13.6077711        ,           10.0,           14.0, Sporting Group          ,                      0.8, Daily Brushing             ,            0.4, Occasional       ,                0.6, Regular Exercise      ,                1.0, Eager to Please      ,            1.0, Outgoing
 13, American Pit Bull Terrier , Urolithiasis (stones)                    , 1            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                          ,           ,           ,           ,                    ,                   ,               ,               ,                         ,                         ,                            ,               ,                  ,                   ,                       ,                   ,                      ,               , 
 14, Jack Russell Terrier      , Urolithiasis (stones)                    , 0            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                          ,           ,           ,           ,                    ,                   ,               ,               ,                         ,                         ,                            ,               ,                  ,                   ,                       ,                   ,                      ,               , 
 15, Poodle                    , Urolithiasis (stones)                    , 1+1          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                          ,           ,           ,           ,                    ,                   ,               ,               ,                         ,                         ,                            ,               ,                  ,                   ,                       ,                   ,                      ,               , 
 16, Russian Spaniel           , Urolithiasis (stones)                    , 0            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                          ,           ,           ,           ,                    ,                   ,               ,               ,                         ,                         ,                            ,               ,                  ,                   ,                       ,                   ,                      ,               , 
 17, Miniature Pinscher        , Urolithiasis (stones)                    , 1            , "Min Pins are sturdy, compact dogs standing no more than 12.5 inches at the shoulder. The smooth, shiny coat comes in two shades of solid red, or chocolate-and-rust or black-and-rust. The dark, slightly oval eyes and high-set ears help bring out a self-possessed, “big dog” personality. A distinguishing characteristic is the Min Pin’s high-stepping “hackney” gait, reminiscent of a hackney horse at the trot. The leggy Miniature Pinscher is known to fans as the “King of Toys.” This proud, fearless, fun-loving toy breed of lustrous coat and a compact, wedge-shaped physique is a true personality dog, known for a high-stepping “hackney” gait."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , "Fearless, Fun-Loving, Proud"            ,         70,      25.4 ,      31.75,  3.62873896        ,  4.535923700000001,           12.0,           16.0, Toy Group               ,                      0.2, Occasional Bath/Brush      ,            0.2, Infrequent       ,                0.6, Regular Exercise      ,                0.4, Independent          ,            0.6, Alert/Responsive
 18, Maltipoo                  , Urolithiasis (stones)                    , 0            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                          ,           ,           ,           ,                    ,                   ,               ,               ,                         ,                         ,                            ,               ,                  ,                   ,                       ,                   ,                      ,               , 
 19, Chinese Shar-Pei          , Urolithiasis (stones)                    , 1            , "The compact, medium-sized Chinese Shar-Pei is an amalgam of odd physical traits: a broad “hippopotamus” muzzle; a blue-black tongue; small, sunken eyes with a scowling expression; tiny triangular ears; abundant folds of loose skin about the head, neck, and shoulders; the tapered high-set tail—all blanketed by a harsh, sandpapery coat. (A literal translation of Shar-Pei: “sand skin.”)Shar-Pei are strong, regal, independent guardians famous for intelligence and loyalty. They are suspicious of strangers and other dogs. Shar-Pei are serene dogs, but they will meet a perceived threat with tenacity and vigor. Early training and socialization are essential—a dominant adult Shar-Pei without them is a serious problem waiting to happen. This fascinating but challenging breed of ancient pedigree is steadfastly loyal to family, but standoffish with strangers. The Chinese Shar-Pei has physical characteristics that make him a one-of-a-kind companion and guardian dog."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , "Loyal, Independent, Calm"               ,         64,      45.72,      50.8 , 20.41165665        , 27.2155422        ,            8.0,           12.0, Non-Sporting Group      ,                      0.2, Occasional Bath/Brush      ,            0.8, Regularly        ,                0.6, Regular Exercise      ,                0.2, May be Stubborn      ,            0.4, Reserved with Strangers
 20, Staffordshire Bull Terrier, Urolithiasis (stones)                    , 0            , "At 14 to 16 inches, Staffordshire Bull Terriers do not stand particularly tall. But, weighing anywhere between 24 to 38 pounds, they pour a gallon of dog into a quart-size container. These are rock-solid, muscular terriers. The head is short and broad, with pronounced cheek muscles, and the tight-fitting coat comes in several colors.Staffordshire Bull Terriers still resemble the pugnacious brawlers who once ruled England’s fighting pits. But today’s responsible breeders are producing sweet-natured, family-oriented dogs with a reputation for being patient with kids. These are true-blue loyal companions, but the old fighting instinct still lurks within—making it vital that pups be socialized with other dogs to learn good canine manners. From his brawling past, the muscular but agile Staffordshire Bull Terrier retains the traits of courage and tenacity. Happily, good breeding transformed this former gladiator into a mild, playful companion with a special feel for kids."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , "Clever, Brave, Tenacious"               ,         80,      35.56,      40.64, 10.88621688        , 17.23651006       ,           12.0,           14.0, Terrier Group           ,                      0.4, Weekly Brushing            ,            0.4, Occasional       ,                0.8, Energetic             ,                0.2, May be Stubborn      ,            0.8, Friendly
 21, Rottweiler                , Urolithiasis (stones)                    , 0            , "A male Rottweiler will stand anywhere from 24 to 27 muscular inches at the shoulder; females run a bit smaller and lighter. The glistening, short black coat with smart rust markings add to the picture of imposing strength. A thickly muscled hindquarters powers the Rottie’s effortless trotting gait.A well-bred and properly raised Rottie will be calm and confident, courageous but not unduly aggressive. The aloof demeanor these world-class guardians present to outsiders belies the playfulness, and downright silliness, that endear Rotties to their loved ones. (No one told the Rottie he’s not a toy breed, so he is liable plop onto your lap for a cuddle.) Early training and socialization will harness a Rottie’s territorial instincts in a positive way. The Rottweiler is a robust working breed of great strength descended from the mastiffs of the Roman legions. A gentle playmate and protector within the family circle, the Rottie observes the outside world with a self-assured aloofness."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , "Loyal, Loving, Confident Guardian"      ,          8,      55.88,      68.58, 36.2873896         , 61.23496995       ,            9.0,           10.0, Working Group           ,                      0.4, Weekly Brushing            ,            0.6, Seasonal         ,                0.6, Regular Exercise      ,                0.6, Agreeable            ,            0.4, Reserved with Strangers
